customer_id,risk_segment,churn_probability,likely_drivers,recommended_action,retention_priority
3887-PBQAO,low,0.0338,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5919-TMRGD,high,0.8693,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
8108-UXRQN,low,0.2435,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9191-MYQKX,medium,0.5366,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9919-YLNNG,medium,0.4643,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
0318-ZOPWS,low,0.0135,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4445-ZJNMU,high,0.8202,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
4808-YNLEU,low,0.0843,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1862-QRWPE,low,0.0151,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2796-NNUFI,low,0.0116,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3016-KSVCP,low,0.1315,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4767-HZZHQ,low,0.2501,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2424-WVHPL,high,0.7357,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
7233-PAHHL,low,0.0229,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6067-NGCEU,low,0.3030,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9848-JQJTX,low,0.0480,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8637-XJIVR,medium,0.6157,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9803-FTJCG,low,0.0379,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0278-YXOOG,low,0.1195,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3212-KXOCR,low,0.0173,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4598-XLKNJ,high,0.7242,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
6380-ARCEH,low,0.2882,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3679-XASPY,low,0.3336,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7123-WQUHX,low,0.0933,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5386-THSLQ,low,0.0747,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3192-NQECA,low,0.2024,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6180-YBIQI,low,0.3381,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6728-DKUCO,low,0.1628,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9750-BOOHV,low,0.0624,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8597-CWYHH,low,0.1305,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2848-YXSMW,low,0.0045,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0486-HECZI,low,0.3616,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4549-ZDQYY,low,0.0491,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5712-AHQNN,low,0.3756,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4846-WHAFZ,medium,0.5003,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
5256-SKJGO,low,0.0515,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3071-VBYPO,medium,0.6024,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9560-BBZXK,low,0.0371,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5299-RULOA,high,0.8383,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
8402-OOOHJ,low,0.0133,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9445-ZUEQE,low,0.2869,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1091-SOZGA,low,0.1921,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2928-HLDBA,low,0.0970,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0404-SWRVG,medium,0.6584,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
6497-TILVL,low,0.2612,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7219-TLZHO,low,0.1251,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4622-YNKIJ,low,0.0570,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4412-YLTKF,low,0.3988,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6734-PSBAW,low,0.0057,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3930-ZGWVE,low,0.3416,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2639-UGMAZ,low,0.0978,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2876-GZYZC,medium,0.6475,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
6207-WIOLX,low,0.1343,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8587-XYZSF,low,0.0333,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3091-FYHKI,medium,0.6682,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
2372-HWUHI,medium,0.4972,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
7799-LGRDP,low,0.0193,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7850-VWJUU,low,0.2752,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3774-VBNXY,low,0.0087,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6217-KDYWC,low,0.0117,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0390-DCFDQ,high,0.8028,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
3146-MSEGF,low,0.0109,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4080-OGPJL,low,0.1954,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1095-WGNGG,low,0.1129,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2636-SJDOU,low,0.0911,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1131-QQZEB,low,0.0108,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5716-EZXZN,low,0.0648,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6837-BJYDQ,low,0.0354,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2135-RXIHG,high,0.7076,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
6440-DKQGE,low,0.0598,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3466-BYAVD,low,0.1745,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3780-YVMFA,low,0.3924,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3874-EQOEP,medium,0.6301,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
1679-JRFBR,low,0.2726,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9073-ZZIAY,low,0.0249,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3077-RSNTJ,low,0.0972,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6551-GNYDG,medium,0.5166,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9167-APMXZ,medium,0.4845,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
2749-CTKAJ,low,0.0352,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6371-NZYEG,low,0.0253,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7554-NEWDD,low,0.0219,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8992-VONJD,low,0.3512,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0867-MKZVY,low,0.3670,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4482-EWFMI,medium,0.6341,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
4648-YPBTM,low,0.0221,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2907-ILJBN,low,0.0375,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6345-FZOQH,low,0.0097,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3376-BMGFE,medium,0.6002,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
5997-OPVFA,low,0.0079,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3445-HXXGF,low,0.3173,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1159-WFSGR,low,0.0901,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7654-YWJUF,low,0.0678,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1875-QIVME,high,0.7568,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
6727-IOTLZ,low,0.0294,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0691-JVSYA,low,0.1336,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5918-VUKWP,low,0.0315,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1744-JHKYS,low,0.0752,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2656-FMOKZ,medium,0.5218,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
2070-FNEXE,medium,0.4920,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
5947-SGKCL,medium,0.5872,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
3712-PKXZA,low,0.0209,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6317-YPKDH,medium,0.5121,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
6582-OIVSP,medium,0.5377,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9367-WXLCH,medium,0.6238,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
5524-KHNJP,low,0.0672,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1918-ZBFQJ,medium,0.6425,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
1024-GUALD,medium,0.6630,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
4827-USJHP,low,0.2470,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8167-GJLRN,medium,0.4456,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
0956-SYCWG,low,0.0372,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8017-UVSZU,low,0.2052,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7100-FQPRV,low,0.0838,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2472-OVKUP,high,0.7085,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
2984-RGEYA,low,0.0137,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9680-NIAUV,low,0.0298,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2146-EGVDT,low,0.0071,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2604-IJPDU,medium,0.5391,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9178-JHUVJ,low,0.0178,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6168-YBYNP,medium,0.4258,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
7255-SSFBC,low,0.0322,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3645-DEYGF,low,0.2882,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9323-HGFWY,low,0.2631,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8544-GOQSH,medium,0.4942,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
3363-DTIVD,low,0.0716,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7018-WBJNK,medium,0.5371,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9142-KZXOP,low,0.2591,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7674-YTAFD,low,0.1320,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6348-SNFUS,low,0.0074,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1285-OKIPP,high,0.8119,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
7825-ECJRF,medium,0.4944,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
1347-KTTTA,low,0.1770,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7841-TZDMQ,medium,0.5684,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
4195-NZGTA,medium,0.5765,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
7157-SMCFK,low,0.0111,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4709-LKHYG,low,0.0312,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2504-DSHIH,low,0.3913,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0699-NDKJM,low,0.0802,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9286-BHDQG,low,0.0080,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0230-WEQUW,low,0.0155,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2040-LDIWQ,low,0.0276,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6496-JDSSB,medium,0.6697,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
9408-SSNVZ,medium,0.6267,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
4443-EMBNA,low,0.0090,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6469-MRVET,low,0.1764,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0742-MOABM,low,0.2913,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
5961-VUSRV,low,0.0379,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6778-JFCMK,low,0.0930,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6341-JVQGF,low,0.0623,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2232-DMLXU,medium,0.5707,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
4811-JBUVU,low,0.3258,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0945-TSONX,low,0.0264,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
2651-ZCBXV,low,0.2267,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
3316-UWXUY,low,0.2240,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
8937-RDTHP,high,0.7587,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
7083-MIOPC,low,0.0049,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1984-GPTEH,low,0.0844,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
1251-KRREG,medium,0.4781,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
0621-JFHOL,low,0.0663,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9903-LYSAB,medium,0.4678,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
0094-OIFMO,high,0.7307,general_engagement,Contact within 48 hours. Primary playbook: Run a customer success review.,1
9227-UAQFT,low,0.0175,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7301-ABVAD,low,0.0086,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
6614-FHDBO,low,0.0291,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
7576-ASEJU,low,0.0917,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
9058-HRZSV,low,0.1933,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
4522-AKYLR,low,0.3890,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
0221-WMXNQ,medium,0.5221,general_engagement,Send targeted intervention before renewal risk increases. Suggested playbook: Run a customer success review.,2
0303-UNCIP,low,0.0788,general_engagement,No immediate intervention required. Keep in standard lifecycle nurture and monitor monthly.,3
